Historical Bud Break Data,,,30-Apr,03-May,13-Apr,17-Apr,29-Apr,29-Apr,01-May,09-May,26-Apr,05-May,08-May,25-Apr,27-Apr,25-Apr,16-Apr,24-Apr,30-Apr,30-Apr,28-Apr,**All dates are entered with the year 2018 to allow for calculation of a day-month average
Vineyard,Block,Variety,Bud Break 2018,Bud Break 2017,Bud Break 2016,Bud Break 2015,Bud Break 2014,Bud Break 2013,Bud Break 2012,Bud Break 2011,Bud Break 2010,Bud Break 2009,Bud Break 2008,Bud Break 2007,Bud Break 2006,Bud Break 2005,Bud Break 2004,Bud Break 2003,Bud Break 2002,Bud Break 2001,Average Bud Break,
Bearcub,A,Shiraz,28-Apr,02-May,08-Apr,09-Apr,24-Apr,25-Apr,26-Apr,07-May,22-Apr,29-Apr,07-May,26-Apr,26-Apr,26-Apr,12-Apr,25-Apr,30-Apr,25-Apr,24-Apr,
Bearcub,B,Cabernet Sauvignon,02-May,04-May,16-Apr,17-Apr,02-May,29-Apr,01-May,04-May,29-Apr,06-May,09-May,27-Apr,26-Apr,28-Apr,13-Apr,26-Apr,30-Apr,28-Apr,28-Apr,
Bearcub,C,Cabernet Sauvignon,02-May,02-May,16-Apr,22-Apr,03-May,29-Apr,30-Apr,07-May,26-Apr,05-May,09-May,29-Apr,27-Apr,28-Apr,13-Apr,26-Apr,30-Apr,04-May,28-Apr,
Bearcub,D,Cabernet Sauvignon,01-May,01-May,16-Apr,22-Apr,29-Apr,29-Apr,01-May,07-May,28-Apr,04-May,12-May,27-Apr,26-Apr,28-Apr,13-Apr,26-Apr,30-Apr,27-Apr,28-Apr,
Bearcub,E,Cabernet Sauvignon,02-May,04-May,17-Apr,24-Apr,29-Apr,29-Apr,30-Apr,07-May,27-Apr,10-May,11-May,29-Apr,26-Apr,28-Apr,13-Apr,26-Apr,30-Apr,03-May,29-Apr,
Bearcub,F,Shiraz,28-Apr,04-May,10-Apr,10-Apr,26-Apr,28-Apr,29-Apr,09-May,,03-May,08-May,25-Apr,24-Apr,22-Apr,08-Apr,20-Apr,01-May,25-Apr,25-Apr,
Bearcub,G,Merlot,05-May,05-May,17-Apr,,05-May,29-Apr,02-May,09-May,24-Apr,06-May,15-May,08-May,28-Apr,25-Apr,12-Apr,28-Apr,30-Apr,28-Apr,30-Apr,
Bearcub,H,Merlot,02-May,04-May,16-Apr,18-Apr,06-May,02-May,05-May,09-May,06-May,11-May,14-May,10-May,28-Apr,25-Apr,12-Apr,30-Apr,29-Apr,28-Apr,30-Apr,
Bearcub,I,Cabernet Franc,27-Apr,02-May,09-Apr,08-Apr,22-Apr,26-Apr,30-Apr,03-May,23-Apr,03-May,09-May,25-Apr,26-Apr,24-Apr,10-Apr,23-Apr,29-Apr,27-Apr,24-Apr,
Bearcub,J,Shiraz,28-Apr,,,,28-Apr,27-Apr,27-Apr,29-Apr,23-Apr,02-May,08-May,24-Apr,23-Apr,24-Apr,08-Apr,20-Apr,29-Apr,25-Apr,25-Apr,
Bearcub,K,Zinfandel,04-May,05-May,12-Apr,16-Apr,02-May,30-Apr,29-Apr,03-May,24-Apr,05-May,15-May,30-Apr,28-Apr,28-Apr,14-Apr,25-Apr,29-Apr,26-Apr,28-Apr,
Bearcub,L,Pinot Noir,02-May,05-May,09-Apr,10-Apr,30-Apr,27-Apr,30-Apr,07-May,26-Apr,04-May,13-May,26-Apr,27-Apr,24-Apr,11-Apr,22-Apr,29-Apr,30-Apr,26-Apr,
Bearcub,M,Sauvignon Blanc,28-Apr,01-May,08-Apr,,29-Apr,28-Apr,28-Apr,03-May,28-Apr,02-May,08-May,26-Apr,25-Apr,24-Apr,10-Apr,23-Apr,29-Apr,26-Apr,26-Apr,
Bearcub,N,Sauvignon Blanc,28-Apr,01-May,10-Apr,14-Apr,29-Apr,28-Apr,28-Apr,07-May,27-Apr,02-May,10-May,26-Apr,25-Apr,24-Apr,10-Apr,21-Apr,29-Apr,28-Apr,25-Apr,
Bearcub,O,Shiraz,28-Apr,04-May,10-Apr,09-Apr,26-Apr,27-Apr,01-May,09-May,01-Jun,02-May,08-May,23-Apr,24-Apr,21-Apr,08-Apr,20-Apr,29-Apr,25-Apr,27-Apr,
Bearcub,P,Pinot Noir,01-May,05-May,09-Apr,11-Apr,26-Apr,27-Apr,29-Apr,07-May,22-Apr,04-May,08-May,25-Apr,25-Apr,23-Apr,11-Apr,22-Apr,29-Apr,27-Apr,25-Apr,
Bearcub,Q,Cabernet Sauvignon,30-Apr,04-May,15-Apr,16-Apr,02-May,28-Apr,01-May,07-May,30-Apr,06-May,14-May,27-Apr,26-Apr,29-Apr,13-Apr,26-Apr,29-Apr,27-Apr,28-Apr,
Bearcub,R,Sauvignon Blanc,27-Apr,02-May,10-Apr,18-Apr,28-Apr,28-Apr,28-Apr,07-May,29-Apr,02-May,10-May,26-Apr,25-Apr,23-Apr,12-Apr,23-Apr,30-Apr,26-Apr,26-Apr,
BSV1,4C,Merlot,27-Apr,01-May,13-Apr,23-Apr,29-Apr,29-Apr,01-May,12-May,,10-May,,,,,,,,,29-Apr,
BSV1,4D,Chardonnay,25-Apr,29-Apr,11-Apr,10-Apr,30-Apr,24-Apr,28-Apr,10-May,26-Apr,10-May,,,,,,,,,26-Apr,
BSV1,4F,Semillon,,,13-Apr,28-Apr,29-Apr,,01-May,10-May,,10-May,,,,,,,,,30-Apr,
BSV1,4G,Cabernet Franc,24-Apr,30-Apr,09-Apr,19-Apr,29-Apr,23-Apr,23-Apr,08-May,23-Apr,13-May,,,,,,,,,26-Apr,
BSV1,5A,Merlot,27-Apr,30-Apr,13-Apr,20-Apr,29-Apr,30-Apr,29-Apr,12-May,30-Apr,10-May,,,,,,,,,29-Apr,
BSV1,5B1,Malbec,27-Apr,06-May,16-Apr,20-Apr,03-May,,25-Apr,08-May,26-Apr,10-May,,,,,,,,,29-Apr,
BSV1,5B2,Zinfandel,29-Apr,07-May,18-Apr,25-Apr,02-May,,25-Apr,08-May,26-Apr,10-May,,,,,,,,,30-Apr,
BSV1,5B3,Tempranillo,26-Apr,05-May,17-Apr,20-Apr,03-May,,25-Apr,08-May,26-Apr,10-May,,,,,,,,,28-Apr,
BSV1,5C,Chardonnay,25-Apr,29-Apr,11-Apr,11-Apr,30-Apr,22-Apr,25-Apr,08-May,26-Apr,10-May,,,,,,,,,25-Apr,
BSV2,A,Shiraz,23-Apr,29-Apr,13-Apr,17-Apr,29-Apr,29-Apr,27-Apr,,02-Jun,11-May,07-May,24-Apr,,,,,,,30-Apr,
BSV2,A2,Cabernet Franc,23-Apr,29-Apr,09-Apr,14-Apr,,23-Apr,21-Apr,,,,,,,,,,,,19-Apr,
BSV2,B,Merlot,27-Apr,03-May,13-Apr,16-Apr,29-Apr,27-Apr,24-Apr,,29-Apr,13-May,07-May,20-Apr,,,,,,,27-Apr,
BSV2,C,Shiraz,23-Apr,01-May,13-Apr,16-Apr,29-Apr,29-Apr,25-Apr,,30-Apr,11-May,07-May,24-Apr,,,,,,,27-Apr,
BSV2,D,Cabernet Sauvignon,28-Apr,06-May,15-Apr,20-Apr,29-Apr,01-May,01-May,11-May,27-Apr,15-May,11-May,28-Apr,,,,,,,01-May,
BSV2,E,Merlot,27-Apr,03-May,13-Apr,16-Apr,29-Apr,28-Apr,26-Apr,,01-Jun,13-May,07-May,24-Apr,,,,,,,30-Apr,
Bullpine,A,Merlot,30-Apr,03-May,13-Apr,21-Apr,02-May,28-Apr,02-May,,23-Apr,05-May,06-May,23-Apr,21-Apr,21-Apr,11-Apr,22-Apr,29-Apr,01-May,25-Apr,
Bullpine,B,Merlot,28-Apr,03-May,11-Apr,20-Apr,29-Apr,27-Apr,29-Apr,,23-Apr,04-May,05-May,23-Apr,21-Apr,21-Apr,11-Apr,22-Apr,28-Apr,28-Apr,24-Apr,
Bullpine,C,Merlot,01-May,02-May,13-Apr,21-Apr,01-May,01-May,03-May,,25-Apr,05-May,08-May,24-Apr,21-Apr,21-Apr,11-Apr,22-Apr,30-Apr,28-Apr,26-Apr,
Bullpine,D,Merlot,01-May,03-May,13-Apr,20-Apr,30-Apr,29-Apr,03-May,,24-Apr,05-May,06-May,21-Apr,21-Apr,21-Apr,11-Apr,22-Apr,30-Apr,28-Apr,25-Apr,
Bullpine,E,Shiraz,,03-May,10-Apr,19-Apr,22-Apr,30-Apr,03-May,07-May,24-Apr,04-May,08-May,23-Apr,30-Apr,30-Apr,20-May,20-Apr,30-Apr,28-Apr,28-Apr,
Bullpine,F,Merlot,01-May,03-May,13-Apr,20-Apr,01-May,01-May,05-May,,23-Apr,06-May,08-May,24-Apr,22-Apr,22-Apr,12-Apr,22-Apr,30-Apr,28-Apr,26-Apr,
Bullpine,G,Merlot,30-Apr,03-May,14-Apr,16-Apr,29-Apr,29-Apr,05-May,,23-Apr,05-May,07-May,21-Apr,22-Apr,22-Apr,12-Apr,22-Apr,30-Apr,25-Apr,25-Apr,
Bullpine,H,Shiraz,01-May,03-May,10-Apr,19-Apr,21-Apr,30-Apr,05-May,,24-Apr,03-May,08-May,22-Apr,26-Apr,26-Apr,16-Apr,,29-Apr,30-Apr,26-Apr,
Bullpine,I,Viognier,29-Apr,03-May,10-Apr,13-Apr,27-Apr,29-Apr,30-Apr,,26-Apr,06-May,11-May,22-Apr,21-Apr,21-Apr,11-Apr,22-Apr,29-Apr,27-Apr,25-Apr,
