date_sampled,date_brix,vineyard,block,row,plantID,brix,labMember,notes
2020/08/27,2020/08/28,Quail's Gate,6-1,53,652,14.5,LW,
2020/08/27,2020/08/28,Quail's Gate,,,706,12.4,MG,
2020/08/26,2020/08/28,NKMIP,,,400,20.9,MG,
2020/08/27,2020/08/28,Quail's Gate,,,620,13.1,GL,
2020/08/26,2020/08/28,McIntyre,,,471,16,GL,
2020/08/26,2020/08/28,NKMIP,,,354,14.9,GL,
2020/08/26,2020/08/28,McIntyre,,,474,15.5,GL,
2020/08/26,2020/08/28,McIntyre,,,472,12.1,GL,
2020/08/26,2020/08/28,Dark Horse,,,982,12.7,MG,
2020/08/26,2020/08/28,Dark Horse,J,8,904,14.6,MG,
2020/08/26,2020/08/28,Dark Horse,E,5,925,20.5,MG,
25Aug2020,31Aug2020,McIntyre,A,30,528,9.1,MG,
25Aug2020,31Aug2020,McIntyre,A,30,527,9.3,MG,
25Aug2020,31Aug2020,McIntyre,A,30,526,7.8,MG,
25Aug2020,31Aug2020,McIntyre,A,30,525,10.2,MG,
25Aug2020,31Aug2020,McIntyre,A,30,524,9.1,MG,
25Aug2020,31Aug2020,DarkHorse,1,27,974,15,MG,
25Aug2020,31Aug2020,DarkHorse,E,6,932,19.4,MG,
25Aug2020,31Aug2020,DarkHorse,E,6,933,19.8,MG,
25Aug2020,31Aug2020,DarkHorse,E,6,934,18.3,MG,
25Aug2020,31Aug2020,DarkHorse,E,5,928,17.5,MG,
